Name,Company,Twitter
Lord Sugar,Amshold Group,@Lord_Sugar
Tony Fernandes,AirAsia Group,@TonyFernandes
Daniel Ek,Spotify,@eldsjal
Helena Morrissey,Newton Investment,@MorrisseyHelena
Stephen Kelly,Sage Group,@SKellyCEO
Sebastian James,Dixons Carphone,@DCSebJ
Jacqueline Gold,Ann Summers,@Jacqueline_Gold
Martin Gilbert,Aberdeen Asset Management,@MartinGilbert83
Jonathan Gale,NewVoiceMedia,@Cloud_CEO
Simon Segars,ARM ,@simonsegars
Xavier Rolet,London Stock Exchange Group,@xrolet
Kathryn Parsons,Decoded,@KathrynParsons
Taavet Hinrikus,TransferWise,@taavet
Drew Houston,Dropbox,@drewhouston
Samir Desai,funding circle,@samirdesai01
Marissa Mayer,Yahoo,@marissamayer
Jason Stockwood,Simply Business,@jstockwood
Titus Sharpe,MVF,@titussharpe
John Fallon,Pearson PLC,@johnfallon
Ryan Holmes,HootSuite,@invoker
Michael Dell,Dell,@michaeldell
Ginni Rometty,IBM,@GinniRometty
Ben Bilboul,Karma Communications Group,@bbilboul
Anand Mahindra,Mahindra & Mahindra,@anandmahindra
Aaron Levie,Box,@levie
Lindsay Pattison,Maxus Communications UK,@lindsaymaxus
Ian Meakins,Wolseley plc,@IanMeakinsWOS
,Edelman,@richardwedelman
David Potts,Morrisons,@MoneyPOTTS
Kaifu Lee,Innovation Works,@kaifulee
Richard Flint,Sky Betting & Gaming,@SkyBetRichard
Yuanqing Yang,Lenovo,@Yuanqing_Lenovo
Diana Farrell,JPMorgan Chase,@Farrell_Diana
Richard Branson,Virgin Group,@richardbranson
Brian Chesky,airbnb ,@bchesky
Assaad Razzouk,sindicatum,@AssaadRazzouk
Ash Ashutosh,Actifio,@ashashutosh
Sundar Pichai,Google,@sundarpichai
Ed Fletcher,"Fletchers Solicitors	",@EdwardBFletcher
Samir Brikho,Amec Foster Wheeler ,@samirbrikho
Travis Kalanick,Uber,@travisk
Punit Renjen,Deloitte,@PunitRenjen
Clive Lucking,"Fourfront Group	",@CliveLucking
John Assael,Assael Architecture,@johnassael
Samir Brikho,Motorola,@samirbrikho
Brian Krzanich,Intel,@bkrunner
Todd Thibodeaux,Comptia,@CompTIACEO
Jane Silber,Canonical,@silbs
Punit Renjen,Deloitte ,@PunitRenjen
Hikmet Ersek,Western Union,@westernunionCEO
Alex Cruz,British Airways,@alex_cruz
Aneel Bhusri,Workday,@aneelb
James Caan,Hamilton Bradshaw,@jamescaan
Tess Alps,Thinkbox,@TessAlps
Mark Bertolini,Aetna,@mtbert
Malcolm Walker,Iceland Foods,@MalcolmCWalker
Sarah Wood,Unruly,@sarahfwood
Jay Bregman,Hailo,@jaybregman
Mark Weinberger,EY,@Mark_Weinberger
Jonathan May,Sponsorcraft,@jonathan_may
Paul Polman,Unilever,@PaulPolman
Jamie Ward,PayAsUGym,@jamiepayasUgym
Xenios Thrasyvoulou,PeoplePerHour,@xenios
Linda Cheung,CubeSocial,@LindaCheungUK
Peter McCormack,Bantr,@petermccormack
Mark Goldring,Oxfam,@Mark_Goldring1
Paul Joyce,Geckoboard,@paulmjoyce
Darren Westlake,CrowdCube,@dazwest
Ambarish Mitra,Blippar,@rishmitra
Francis Boulle,Fund Mine,@FrancisBoulle
Jane Boardman,Talk PR,@hjaneboardman
Zarine Kharas,Justgiving,@ZarineKharas
Rosaleen Blair,Alexander Mann Solutions,@RosaleenBlair
 Sacha Romanovitch,Grant Thornton,@romanovsun
Steven Holliday,National Grid,@NGSteveH
Jeff Joerres,Manpower Group,@ManpowerGroupJJ 
 Bill McDermott,SAP,@BillRMcdermott
Bruce Broussard,Humana,@BruceDBroussard
Nigel Edwards ,Nuffield Trust,@nedwards_1
Steve Tappin,Xinfu,@SteveTappin
Stuart Garner,Norton Motorcycles ,@norton_ceo
Richard H. Harris,Ensygnia,@TelecomGuru
Maggie Philbin,TeenTech,@maggiephilbin
Jonny Geller,Curtis Brown,@JonnyGeller
Jeremy Taylor,National Voices,@JeremyTaylorNV
Ben van Beurden,Royal Dutch Shell,@VanBeurdenShell
Sacha Romanovitch,Grant Thornton UK,@romanovsun
Graeme Bodys ,Nooq,@graemebodys
Samir Brikho,AMEC Foster Wheeler,@samirbrikho
Richard Brooks,K International ltd,@RichardMBrooks
Simon Francis,Flock Associates,@cupperbutt
Belinda Parmar,Lady Geek,@belindaparmar
Paul Pester,TSB Bank plc,@PaulPester
Gary Browning,Penna ,@gbpenna
Darren Childs,UKTV,@DarrenMChilds
Martin Hellawell,Softcat,@martinhellawell
Steve Fitzpatrick,Ovo Energy,@fitzpas
Matthew Pack,Holiday Extras,@matthewpack
Vittario Colao,Vodafone,@vitt61
