,ScreenName,Name,Created_at,Followers,Tweet_count,Fav_count,Average_posts,Retweets_in_100,Fav_in_100,Media_100,Rank
0,SkyBet,Sky Bet,Mon Nov 10 17:01:13 +0000 2008,302749,379819,1062,132.0,636,105,7,30494.2
1,PANDORA_UK,PANDORA Jewellery UK,Thu Mar 24 11:54:12 +0000 2011,157321,18945,2130,9.0,426,1420,19,16198.7
2,Skyscanner,Skyscanner,Mon Mar 23 14:56:47 +0000 2009,156699,27497,6005,10.0,439,218,22,15839.95
3,bbhlondon,BBH London,Wed Dec 31 22:00:03 +0000 2008,102141,2382,1250,0.0,19357,463,50,15176.6
4,Rackspace,Rackspace,Tue Mar 24 06:30:52 +0000 2009,106594,24391,5356,8.0,131,145,13,10732.35
5,Fossil,Fossil,Thu Mar 04 20:41:32 +0000 2010,71690,102246,532,42.0,58,159,21,7236.9
6,buildabear,Build-A-BearWorkshop,Tue Jun 03 20:55:56 +0000 2008,57519,10040,6357,3.0,986,1749,32,6441.2
7,PureGym,PureGym,Fri Jul 03 10:14:04 +0000 2009,52795,44103,33904,16.0,44,63,4,5310.85
8,ToyotaGB,ToyotaGB,Wed Sep 10 13:23:32 +0000 2008,49510,37168,19069,12.0,195,438,28,5116.45
9,HawksmoorLondon,Will & Kat,Fri Mar 13 15:15:41 +0000 2009,42722,23572,11268,8.0,972,221,41,4578.6
10,simplybusiness,Simply Business,Mon Aug 04 13:25:20 +0000 2008,32700,18684,3840,6.0,120,28,63,3317.95
11,audleytravel,Audley Travel,Mon Oct 05 21:33:53 +0000 2009,10805,4677,5232,1.0,5590,595,69,2637.35
12,LOCCITANE_UK,L'OCCITANE UK,Tue Apr 27 13:24:24 +0000 2010,25033,5265,2058,2.0,316,159,36,2627.95
13,KuoniTravelUK,Kuoni Travel,Wed Feb 04 15:31:04 +0000 2009,24829,20095,9757,7.0,138,160,43,2565.6
14,HolidayExtras,Holiday Extras,Wed Sep 24 16:28:11 +0000 2008,24918,10686,713,3.0,20,85,52,2526.6
15,TheBrekkyClub,The Breakfast Club,Sun Jul 05 09:49:15 +0000 2009,22290,10676,3054,4.0,162,264,35,2341.75
16,OVOEnergy,OVO Energy,Tue Apr 20 15:17:49 +0000 2010,20005,27832,7277,11.0,28,42,13,2022.7
17,THOMASSABO,THOMAS SABO,Thu May 05 14:09:51 +0000 2011,17939,5108,8822,2.0,245,584,62,2010.95
18,WhiteStuffUK,White Stuff,Thu Apr 29 08:02:44 +0000 2010,16092,10004,6704,4.0,40,146,34,1661.8
19,Beaverbrooks,Beaverbrooks,Wed Jul 21 11:13:15 +0000 2010,13985,8519,3139,3.0,77,130,40,1457.0
